Symbol,Company Name,Exchange,Country,
VATSAEDU.BO,VATSA EDUCATIONS LTD.,BSE,India,
RES.TO,Rare Element Resources Ltd.,TOR,Canada,
WELLNESS.BO,WELLNESS NONI LTD.,BSE,India,
WNGRF,George Weston Limited,PNK,USA,
ECV.L,Eco City Vehicles plc,LSE,UK,
RXNRP,REX ENERGY CORP,PNK,USA,
HAL,Halliburton Company,NYQ,USA,
MCF,Contango Oil & Gas Company,ASE,USA,
ADRO.JK,ADARO ENERGY TBK IDR100,JKT,Indonesia,
CASS,"Cass Information Systems, Inc.",NMS,USA,
YESB.BO,YESB CNV 15-OCT 600.00,BSE,India,
ORN.MX,L'OREAL,MEX,Mexico,
EUGFF,Dundee Energy Limited,PNK,USA,
BKS3.F,BBS KRAFTFAHRZG VZ,FRA,Germany,
M0X.F,MPLX,FRA,Germany,
5049@BN.KL,COUNTRY VIEW BHD,KLS,Malaysia,
9957.TWO,YUSCO,TWO,Taiwan,
XXNCC,DEL TACO RESTAURANT ,PNK,USA,
APH.MX,AMPHENOL-A,MEX,Mexico,
KAJ.DU,KAJIMA,DUS,Germany,
1904.TW,Cheng Loong Corp.,TAI,Taiwan,
MHN.L,Menhaden Capital,LSE,UK,
QTS.BE,QUINTILES TRANSNAT,BER,Germany,
VMPT,"VAMPT AMERICA, INC.",PNK,USA,
GGB,Gerdau S.A.,NYQ,USA,
DNO.BE,DENSO,BER,Germany,
WM1.MU,WILLIAMS-SONOMA,MUN,Germany,
WDI.EX,WIRECARD,EUX,Germany,
BRYAT.IS,Borusan Yatirim ve Pazarlama A.S.,IST,Turkey,
SFCL.NS,Star Ferro and Cement Limited,NSI,India,
PZBW,Plaza Bank,PNK,USA,
7198.KL,DPS Resources Bhd,KLS,Malaysia,
RIGL,"Rigel Pharmaceuticals, Inc.",NMS,USA,
WGNR,Wegener Corp.,PNK,USA,
MXGFF,Maxim Power Corp.,PNK,USA,
ZAZ.IR,ZAMANO,ISE,UK,
SOFO,"Sonic Foundry, Inc.",NCM,Australia,
NOC,Northrop Grumman Corporation,NYQ,USA,
QC1.F,NY COMMTY BANCORP,FRA,Germany,
4543.TWO,MAN ZAI,TWO,Taiwan,
TKECF,"Tokyo Electric Power Company, Incorporated",PNK,USA,
BBSI,Barrett Business Services Inc.,NMS,USA,
PSAN.DE,"PSI Aktiengesellschaft für Produkte und Systeme der Informationstechnologie
",GER,Germany,
GFOX,Gray Fox Petroleum Corp.,PNK,USA,
SWJ.L,John Swan & Sons plc,LSE,UK,
JRO,Nuveen Floating Rate Income Opportunity Fund,NYQ,USA,
XPL,Solitario Exploration & Royalty Corp.,ASE,USA,
0960.HK,"Longfor Properties Co., Ltd.",HKG,Hong Kong,
VIGLF,VIGIL HEALTH SOLUT,PNK,USA,
LDNXF,London Stock Exchange Group plc,PNK,USA,
PPS,Post Properties Inc.,NYQ,USA,
VRBCF,Virbac SA,PNK,USA,
CN.V,Condor Resources Inc.,VAN,Canada,
EPLAS.IS,Egeplast Ege Plastik Ticaret ve Sanayi Anonim Sirketi,IST,Turkey,
BRMEN.IS,Birlik Mensucat Ticaret ve Sanayi Isletmesi A.S.,IST,Turkey,
TVL.V,Traverse Energy Ltd.,VAN,Canada,
SIXN,Siouxland Energy and Livestock Cooperative,PNK,USA,
ORYYF,ORYX INTERNATIONAL,PNK,USA,
JAV2.F,ESSO THAILAND NVDR,FRA,Germany,
GLDD,Great Lakes Dredge & Dock Corporation,NMS,USA,
JDT.L,Jupiter Dividend & Growth Trust PLC,LSE,UK,
UANC.L,Urban&Civic, plc,LSE,UK
VNET,"21Vianet Group, Inc.",NMS,USA,
SDP.L,Schroder Asia Pacific Ord,LSE,UK,
NG4.BE,NICHII GAKKAN,BER,Germany,
ARL,American Realty Investors Inc.,NYQ,USA,
MBDE,Morris Business Development Company,PNK,USA,
MSN,Emerson Radio Corp.,ASE,USA,
NPV,Nuveen Virginia Premium Income Municipal Fund,NYQ,USA,
EDGA.SG,GOLD FIELDS,STU,Germany,
VZ8.F,CHINA AVIATION OIL,FRA,Germany,
UNQTYMI.BO,Union Quality Plastics Limited,BSE,India,
HRTFF,Harte Gold Corp.,PNK,USA,
JPAVF,JAPAN AVIATION ELECT,PNK,USA,
CHBH,"Croghan Bancshares, Inc.",PNK,USA,
PHT,Pioneer High Income Trust,NYQ,USA,
BZM,BlackRock Maryland Municipal Bond Trust,ASE,USA,
ZEON.F,CANADIAN MINING,FRA,Germany,
TOM.HA,TOYOTA MOTOR,HAN,Germany,
HSBA.L,HSBC Holdings plc,LSE,UK,
ICM.V,Iconic Minerals Ltd.,VAN,Canada,
WSPOF,WSP Global Inc.,PNK,USA,
716994.TWO,YUANTA SECURITIES C/W 18/08/15(,TWO,Taiwan,
CTX.MU,CITRIX SYSTEMS,MUN,Germany,
03015X.TW,YUANTA SECURITIES C/W 22/02/16(,TAI,Taiwan,
IRNS,Ironstone Group Inc.,PNK,USA,
81A.SG,AO WORLD,STU,Germany,
LGGNY,Legal & General Group Plc,PNK,USA,
GAP.BE,GAP,BER,Germany,
TISI,"Team, Inc.",NYQ,USA,
ZPPOLYSA.BO,Planter's Polysacks Limited,BSE,India,
MCGS.QA,Medicare Group Q.S.C.,DOH,Qatar,
FALC,Falconstor Software Inc.,NGM,Sweden,
XPL.L,XPLORER,LSE,UK,
BIND,"BIND Therapeutics, Inc.",NMS,USA,
CAPS,Capstone Therapeutics Corp.,PNK,USA,
FRMO,FRMO Corp.,PNK,USA,
LEG.AX,Legend Mining Limited,ASX,Australia,
NCX.V,NorthIsle Copper and Gold Inc.,VAN,Canada,
RSH.BE,RANDSTAD HOLDING,BER,Germany,
SKM.F,SKY PER JSAT HLDGS,FRA,Germany,
SHVLF,Starcore International Mines Ltd,PNK,USA,
KOBX.JK,KOBEXINDO TRACTORS IDR100,JKT,Indonesia,
HES,Hess Corporation,NYQ,USA,
KOA.BE,KONAMI HLDS,BER,Germany,
BYM,BlackRock Municipal Income Quality Trust,NYQ,USA,
TAPM,"Tapinator, Inc.",PNK,USA,
VVVFF,Versatile  Systems Inc.,PNK,USA,
CYU.AX,Chinalco Yunnan Copper Resources Limited,ASX,Australia,
SEIGF,SEMPERIT AG HLDG,PNK,USA,
YFGSF,YAMAGUCHI FINANCIAL,PNK,USA,
MLZAM.PA,ZCCM Investments Holdings Plc,PAR,France,
SOBI.ST,Swedish Orphan Biovitrum AB,STO,Sweden,
EML.AX,Emerchants Limited,ASX,Australia,
ZONNF,NOS SGPS SA,PNK,USA,
EZCH.TA,EZchip Semiconductor Ltd.,TLV,Israel,
CAMT,Camtek Ltd.,NGM,Sweden,
TBNK,Territorial Bancorp Inc.,NMS,USA,
HCA,"HCA Holdings, Inc.",NYQ,USA,
NXT.V,Natcore Technology Inc.,VAN,Canada,
XL,XL Group plc,NYQ,USA,
BRU.AX,Buru Energy Limited,ASX,Australia,
XIL.PA,Xilam Animation,PAR,France,
VNTV,"Vantiv, Inc.",NYQ,USA,
SKIS,"Peak Resorts, Inc.",NGM,Sweden,
HLM-P,Hillman Group Capital Trust Pre,ASE,USA,
UTDI.F,UNITED INTERNET N ,FRA,Germany,
LHA.F,DT.LUFTHANSA N,FRA,Germany,
MAP.MC,MAPFRE,MCE,Spain,
UGI.F,SUGI HOLDINGS,FRA,Germany,
BZ.V,Benz Mining Corp.,VAN,Canada,
FMX,"Fomento Económico Mexicano, S.A.B de C.V
",NYQ,USA,
003010.KS,Haein Corporation,KSC,Korea,
QNTO,Quaint Oak Bancorp Inc,PNK,USA,
NAII,Natural Alternatives International Inc.,NGM,Sweden,
JOC.V,Tenth Avenue Petroleum Corp.,VAN,Canada,
1250.HK,Beijing Enterprises Clean Energy Group Limited,HKG,Hong Kong,
ADMS,"Adamas Pharmaceuticals, Inc.",NGM,Sweden,
SATELENG.BO,Satellite Engineering Ltd.,BSE,India,
WLDN,"Willdan Group, Inc.",NGM,Sweden,
BSRC,"BioSolar, Inc.",PNK,USA,
MMC,"Marsh & McLennan Companies, Inc.",NYQ,USA,
AMPG,"AmpliTech Group, Inc.",PNK,USA,
OBL.F,OBIC,FRA,Germany,
SYPR,Sypris Solutions Inc.,NGM,Sweden,
ADES,"Advanced Emissions Solutions, Inc.",NCM,Australia,
YI2A.BE,JA SOLAR HLD SP ADR,BER,Germany,
CHD,Church & Dwight Co. Inc.,NYQ,USA,
MAGNF,Magellan Minerals Limited,PNK,USA,
APN.AX,APN News & Media Ltd.,ASX,Australia,
SRE,Sempra Energy,NYQ,USA,
CAG.AX,CAPE RANGE FPO,ASX,Australia,
VGN.V,Greencastle Resources Ltd.,VAN,Canada,
EGLYO.IS,Egeli & Co Girisim Sermayesi Yatirim Ortakligi Anonim Sirketi,IST,Turkey,
RY-PD.TO,Royal Bank of Canada,TOR,Canada,
FUJ1.DU,FUJITSU,DUS,Germany,
VIH.DE,VIB Vermoegen AG,GER,Germany,
KW,"Kennedy-Wilson Holdings, Inc.",NYQ,USA,
IIKKF,IINO KAIUN KAISHA LT,PNK,USA,
BVCL-EQ.NS,BARAK VALLEY CEMENTS LIMITED,NSI,India,
KLR.L,Keller Group plc,LSE,UK,
SBHGF,"SBI Holdings, Inc.",PNK,USA,
TQBY,"Tabacalera Ysidron, Inc.",OBB,USA,
MAAJTL.BO,MAA JAGDAMBE TRADELINKS LIMITE,BSE,India,
MZ8.BE,MIZUHO FIN GROUP,BER,Germany,
XCW.F,CATTOLICA ASS,FRA,Germany,
CHKP,Check Point Software Technologies Ltd.,NMS,USA,
EVM,Eaton Vance California Municipal Bond Fund,ASE,USA,
RPG.AX,Raptis Group Limited,ASX,Australia,
VERTU.IS,Verusaturk Girisim Sermayesi Yatirim Ortakligi A.S.,IST,Turkey,
DEZ.DE,Deutz AG,GER,Germany,
SSE.L,SSE plc,LSE,UK,
OLY1.F,OLYMPUS,FRA,Germany,
DZX.SG,Minera IRL Limited,STU,Germany,
HNM.F,ORMAT TECHNOLOGIES,FRA,Germany,
FLEX,Flextronics International Ltd.,NMS,USA,
MVBF,MVB Financial Corp.,PNK,USA,
XGRA9.BA,ROSARIO ADM SOC FI CP 25/10/16 ,BUE,Argentina,
AZJ.AX,Aurizon Holdings Limited,ASX,Australia,
011780.KS,Kumho Petrochemical Co. Ltd.,KSC,Korea,
JPLZW,JPMORGAN CHASE BK LO,PNK,USA,
VJET.SW,VOXELJET SP ADS,EBS,Austria,
VENUSREM.NS,Venus Remedies Ltd.,NSI,India,
YZCFF,YIZHENG CHEMICAL FIB,PNK,USA,
DXPE,"DXP Enterprises, Inc.",NMS,USA,
JSI.L,Jiasen International Holdings Limited,LSE,UK,
000150.KS,Doosan Corporation,KSC,Korea,
UBMN.L,UBM I14 NP,LSE,UK,
TTHI,Transition Therapeutics Inc.,NGM,Sweden,
PZG,Paramount Gold Nevada Corp.,ASE,USA,
QACM.HM,4.875 BARCLAYS NCCP,HAM,Germany,
2282.HK,MGM China Holdings Limited,HKG,Hong Kong,
GWW.SG,WW GRAINGER,STU,Germany,
26P.BE,PFENEX,BER,Germany,
ENRT,Enertopia Corp.,PNK,USA,
PG8.F,PLAINS GP HLDGS-A,FRA,Germany,
WJXFF,Wajax Corporation,PNK,USA,
VG8.BE,VARENGOLD BANK,BER,Germany,
LOOK,"LookSmart, Ltd.",NCM,Australia,
TMAS.JK,PELAYARAN TEMPURAN IDR125,JKT,Indonesia,
011560.KQ,Sebo Manufacturing Engineering Corp.,KOE,South Korea,
RDCM,Radcom Ltd.,NCM,Australia,
JUTHA.BK,Jutha Maritime Public Company Limited,SET,Thailand,
SHSH,Shoshone Silver/Gold Mining Company,PNK,USA,
FREA.F,FRESENIUS SP ADR,FRA,Germany,
SBM.AX,ST Barbara Ltd.,ASX,Australia,
VPC.AX,Velpic Limited,ASX,Australia,
RAFI,Regency Affiliates Inc.,PNK,USA,
YCP.DU,CONOCOPHILLIPS,DUS,Germany,
SNFCA,Security National Financial Corp.,NGM,Sweden,
NWYF,Northway Financial Inc.,PNK,USA,
ALV.DE,Allianz SE,GER,Germany,
BIW.DU,KWG KOMMUNALE WOHNE,DUS,Germany,
G1V.BE,COAL OF AFRICA,BER,Germany,
AMZN,"Amazon.com, Inc.",NMS,USA,
SBMRF,SABMiller plc,PNK,USA,
GND.PA,Norbert Dentressangle S.A.,PAR,France,
ZP8.MU,ZHAOPIN SP ADS-A,MUN,Germany,
IU2.MU,YARA INTERNATIONAL,MUN,Germany,
VBL.BE,VIRGIN AUSTRA,BER,Germany,
XUN.F,SHUN TAK HLDGS,FRA,Germany,
CTY.TO,Calian Technologies Ltd.,TOR,Canada,
TBLMY,Tiger Brands Limited,PNK,USA,
CSC,Computer Sciences Corporation,NYQ,USA,
1616.HK,Silverman Holdings Limited,HKG,Hong Kong,
YBA.F,BANCORPSOUTH,FRA,Germany,
ZVR.F,SOLAR A/S,FRA,Germany,
AAU,Almaden Minerals Ltd.,ASE,USA,
DAI.DE,Daimler AG,GER,Germany,
RYN.MX,Royal Bank of Canada,MEX,Mexico,
OVT.V,Oculus VisionTech Inc.,VAN,Canada,
STL,Sterling Bancorp.,NYQ,USA,
QGOLDHALF.NS,Quantum Gold ETF,NSI,India,
WPC.L,Witan Pacific Ord,LSE,UK,
JPTXF,JAPAN PETRO EXPL CO,PNK,USA,
TMEB,"Terme Bancorp, Inc.",PNK,USA,
03048X.TW,YUANTA SECURITIES C/W 04/06/16(,TAI,Taiwan,
HRH.V,Hillcrest Petroleum Ltd.,VAN,Canada,
ARHVF,Archer Limited,PNK,USA,
UIHC,United Insurance Holdings Corp.,NCM,Australia,
QY1.F,QUALITY SYSTEMS,FRA,Germany,
KOFL.MX,Coca-Cola FEMSA S.A.B de C.V.,MEX,Mexico,
KMGLF,Asiamet Resources Limited,PNK,USA,
AV-UN.TO,Aston Hill Advantage VIP Income Fund,TOR,Canada,
OPE.MU,OMEGA PROTEIN,MUN,Germany,
HH,Hooper Holmes Inc.,ASE,USA,
AXST,Axesstel Inc.,PNK,USA,
SAJA,"Sajan, Inc.",NCM,Australia,
NLB1.DE,Nobel Biocare Holding AG,GER,Germany,
BKUT,Bank of Utica,PNK,USA,
3063-OL.HK,X DBCSI300TRANS,HKG,Hong Kong,
LXK,Lexmark International Inc.,NYQ,USA,
PRTY,Party City Holdco Inc.,NYQ,USA,
SSL,Sasol Ltd.,NYQ,USA,
PP1.MU,PAPA JOHNS INTL,MUN,Germany,
21X.F,PROMETH WORLD,FRA,Germany,
0885.HK,Rentian Technology Holdings Limited,HKG,Hong Kong,
BGH,Babson Capital Global Short Duration High Yield Fund,NYQ,USA,
AVID,"Avid Technology, Inc.",NMS,USA,
QU8.SG,QUNAR CAYM SP ADS-B,STU,Germany,
GWO-PQ.TO,GREAT WEST LIFECO PREF SER Q,TOR,Canada,
RY4C.IR,RYANAIR HLDGS,ISE,UK,
8107.TWO,KENMOS TECHNOLOGY TWD10,TWO,Taiwan,
VTC.L,The Vitec Group plc,LSE,UK,
716156.TWO,JIH SUN SECURITIES C/W 27/07/15,TWO,Taiwan,
000040.KS,"KR Motors Co., Ltd.",KSC,Korea,
CS.PA,AXA Group,PAR,France,
OCI1.DE,"Actividades de Construcción y Servicios, S.A.",GER,Germany,
YOHOF,Yoho Resources Inc.,PNK,USA,
WIMHF,William Hill plc,PNK,USA,
GCHE.ME,Public Joint Stock Company Cherkizovo Group,MCX,India,
USCS,USCorp,PNK,USA,
O5H.DE,OpenLimit Holding AG,GER,Germany,
BK-PC,Bank Of New York Mellon Corpora,NYQ,USA,
BVWN,"Broadview Networks Holdings, Inc.",PNK,USA,
ASG,"Liberty All-Star Growth Fund, Inc.",NYQ,USA,
N9M.MU,NAUTILUS MINERALS,MUN,Germany,
FLIC,The First of Long Island Corporation,NCM,Australia,
CBA,ClearBridge American Energy MLP Fund Inc.,NYQ,USA,
HNT,"Health Net, Inc.",NYQ,USA,
003960.KS,Sajodaerim Corporation,KSC,Korea,
K1Q.SI,T T J Holdings Limited,SES,Singapore,
ZENTEC-EQ.NS,ZEN TECHNOLOGIES LIMITED,NSI,India,
NFTGF,"NuFlare Technology, Inc.",PNK,USA,
IIN,Intricon Corp.,NGM,Sweden,
XIA.V,Xiana Mining Inc.,VAN,Canada,
ROCEF,Lithium X Energy Corp.,PNK,USA,
JTNB,"JTNB Bancorp, Inc.",PNK,USA,
AMDA,Amedica Corporation,NCM,Australia,
YAMCY,Yamaha Corporation,PNK,USA,
CNOB,"ConnectOne Bancorp, Inc.",NMS,USA,
NWCN,"Network CN, Inc.",PNK,USA,
716552.TWO,JIH SUN SECURITIES C/W 24/08/15,TWO,Taiwan,
VRCI,"Verde Science, Inc.",PNK,USA,
MEXCHEM.MX,"Mexichem, S.A.B. de C.V.",MEX,Mexico,
SHLD,Sears Holdings Corporation,NMS,USA,
PM6.F,POLYMETAL INTL,FRA,Germany,
DISI.TA,Discount Investment Corporation Limited,TLV,Israel,
JD,"JD.com, Inc.",NMS,USA,
LTEL3BF.SA,LITEL       ON      MB,SAO,Brazil,
VTL,"Vital Therapies, Inc.",NMS,USA,
UNQ.DU,UBM,DUS,Germany,
7122@BN.KL,YFG BERHAD,KLS,Malaysia,
0826.HK,"Tiangong International Company, Limited",HKG,Hong Kong,
QD4.F,QUANTUM ENERGY,FRA,Germany,
WGEE,WGE Holdings Corp.,PNK,USA,
7KL.BE,KULA GOLD,BER,Germany,
NRM.SG,INSURANCE AUST GRP,STU,Germany,
JAYBARMAR.NS,Jay Bharat Maruti Limited,NSI,India,
LCDX,"Caliber Imaging & Diagnostics, Inc.",PNK,USA,
JIX.F,JIANGXI COPPER -H-,FRA,Germany,
QUS.F,QUESTAR CORP,FRA,Germany,
GTOMY,Gemalto NV,PNK,USA,
DIP0.BA,ARGENTINA(REP OF) 5.83% DISC NT,BUE,Argentina,
KIN2.DE,Kinross Gold Corporation,GER,Germany,
HSPG.OL,Høland og Setskog Sparebank,OSL,Norway,
ZNHH.BE,CHINA SOUTHN AIR-H-,BER,Germany,
EFII,"Electronics for Imaging, Inc.",NMS,USA,
UTG.L,Unite Group plc,LSE,UK,
MJNA,"Medical Marijuana, Inc.",PNK,USA,
QSC.DE,QSC  AG,GER,Germany,
PFH,Cabco Tr Jcp 7.625 Common Stock,NYQ,USA,
GOI3.F,FDG ELECTRIC VEHICL,FRA,Germany,
NHLD,National Holdings Corporation,NCM,Australia,
3709.HK,Koradior Holdings Limited,HKG,Hong Kong,
CVI,"CVR Energy, Inc.",NYQ,USA,
KEL.TO,Kelt Exploration Ltd.,TOR,Canada,
AAV.TO,Advantage Oil & Gas Ltd.,TOR,Canada,
PAR.ST,PA Resources AB,STO,Sweden,
TNK,Teekay Tankers Ltd.,NYQ,USA,
CH1A.SG,C.H.ROBINSON WLDWDE,STU,Germany,
PLI.TO,ProMetic Life Sciences Inc.,TOR,Canada,
SGMO,Sangamo Biosciences Inc.,NMS,USA,
DU4.SI,Mermaid Maritime Public Company Limited,SES,Singapore,
MTP,Midatech Pharma Plc,NCM,Australia,
UMPQ,Umpqua Holdings Corporation,NMS,USA,
GRBS,Greer Bancshares Incorporated,PNK,USA,
71942P.TWO,YUANTA SECURITIES P/W 16/10/15(,TWO,Taiwan,
UBK.HM,UMWELTBANK ,HAM,Germany,
DOR.L,DORIEMUS,LSE,UK,
WSMTF,Westminster Group Plc,PNK,USA,
LEON,"Leone Asset Management, Inc.",PNK,USA,
YX3F.EX,YOOX NETAPORT,EUX,Germany,
XCIA.F,CHINA UN HK SP ADR,FRA,Germany,
VLE.MU,VALERO ENERGY,MUN,Germany,
FTS-PK.TO,FORTIS INC PREF SERIES K,TOR,Canada,
XHSA.DU,HOMESERVE,DUS,Germany,
ZIM.BE,ZIMMER BIOMET HLDGS,BER,Germany,
NONOF,Novo Nordisk A/S,PNK,USA,
C-PP,Citigroup Inc. Dep Shs Repstg 1,NYQ,USA,
721997.TWO,YUANTA SECURITIES C/W 07/07/16(,TWO,Taiwan,
ITC.TO,Intrinsyc Technologies Corporation,TOR,Canada,
EGY,Vaalco Energy Inc.,NYQ,USA,
VV0.F,VICTORY VENTURES,FRA,Germany,
721669.TWO,YUANTA SECURITIES C/W 16/05/16(,TWO,Taiwan,
KURA,"Kura Oncology, Inc.",NMS,USA,
8092.TWO,CHIEN WEI PRECISE TWD10,TWO,Taiwan,
WDI.SW,WIRECARD,EBS,Austria,
RVTI,Rival Technologies Inc.,PNK,USA,
SSS,Sovran Self Storage Inc.,NYQ,USA,
JE9N.F,ARIANNE PHOSPHATE,FRA,Germany,
ZCT1.DE,Zimtu Capital Corp.,GER,Germany,
4GN.MU,WAL-MART-V,MUN,Germany,
FGOVF,Freegold Ventures Ltd.,PNK,USA,
ONFC,Oneida Financial Corp.,NGM,Sweden,
SHL.AX,Sonic Healthcare Limited,ASX,Australia,
5264.TW,Casetek Holdings Limited,TAI,Taiwan,
MBUMY,Mabuchi Motor Co. Ltd.,PNK,USA,
AAH3.BE,AHLERS VZ,BER,Germany,
GLUX,"Great Lakes Aviation, Ltd.",PNK,USA,
NIK.V,Nikos Explorations Ltd.,VAN,Canada,
HARI,"Harvard Illinois Bancorp, Inc.",PNK,USA,
ENDV,"Endonovo Therapeutics, Inc.",PNK,USA,
CDOM,"Tiger X Medical, Inc.",PNK,USA,
QTM.AX,Quantum Energy Ltd.,ASX,Australia,
SERV,"ServiceMaster Global Holdings, Inc.",NYQ,USA,
STIE,Santaro Interactive Entertainment Company,PNK,USA,
0775.HK,"CK Life Sciences Int'l., (Holdings) Inc.",HKG,Hong Kong,
4J2.BE,JONES LANG LASALLE,BER,Germany,
TTI,"TETRA Technologies, Inc.",NYQ,USA,
9188.TW,Yorkey Optical International (Cayman) Ltd.,TAI,Taiwan,
DCOU,Discount Coupons Corporation,PNK,USA,
ENP.V,ENPAR Technologies Inc.,VAN,Canada,
ANL.F,ANALOG DEVICES,FRA,Germany,
44RS.L,Santander UK Group Holdings plc,LSE,UK,
GDLNF,Greenland Minerals and Energy Limited,PNK,USA,
RNWEY,REC Silicon ASA,PNK,USA,
3029-OL.HK,X XIE MALAY,HKG,Hong Kong,
GPOR.L,Great Portland Estates plc,LSE,UK,
8250-OL.HK,SILK RD ENERGY,HKG,Hong Kong,
ESDI,"Eastside Distilling, Inc.",PNK,USA,
AYS.AX,amaysim Australia Limited,ASX,Australia,
BG,Bunge Limited,NYQ,USA,
TRU,TransUnion,NYQ,USA,
TXRX3F.SA,TEX RENAUX  ON,SAO,Brazil,
ORC,"Orchid Island Capital, Inc.",NYQ,USA,
ASL.L,Aberforth Smaller Companies Ord,LSE,UK,
XKE,Lehman ABS Corporation Corporat,NYQ,USA,
3052-OL.HK,X DBCSI300UTIL,HKG,Hong Kong,
FMC1.DE,Ford Motor Co.,GER,Germany,
WCUI,"Wellness Center USA, Inc.",PNK,USA,
LLTC,Linear Technology Corporation,NMS,USA,
YFI.V,"Edgewater Wireless Systems, Inc.",VAN,Canada,
5159.KL,Yoong Onn Corporation Berhad,KLS,Malaysia,
QCQ.F,CORDY OILFIELD SVCS,FRA,Germany,
UBR.V,Uragold Bay Resources Inc.,VAN,Canada,
CACB,Cascade Bancorp,NCM,Australia,
HRO.F,HIROSE ELECTRIC CO,FRA,Germany,
ON.V,"OneRoof Energy Group, Inc.",VAN,Canada,
NCZ,AllianzGI Convertible & Income Fund II,NYQ,USA,
DCA,Virtus Total Return Fund,NYQ,USA,
GAHC,"Global Arena Holding, Inc.",OBB,USA,
XEN.MU,INTEX RESOURCES,MUN,Germany,
YGGYO.IS,Yeni Gimat Gayrimenkul Yatirim Ortakligi A.S.,IST,Turkey,
40JP.L,CAIXA GERAL FIN NCP,LSE,UK,
XAE2.BE,CATALIS,BER,Germany,
YIPI,"Yippy, Inc.",PNK,USA,
WL4N.F,INV METALS,FRA,Germany,
BBEPP,Breitburn Energy Partners LP,NMS,USA,
YTMF01.AX,THETAASSET ACBCAMP18,ASX,Australia,
AFBOF,AFRICAN RAINBOW MINE,PNK,USA,
RBAZ,"RepublicBankAz, N.A.",PNK,USA,
DYDIF,DYDO DRINCO INC,PNK,USA,
RBS-PS,Royal Bank of Scotland Group Pl,NYQ,USA,
BPLD.BA,BUENOS AIRES(PROV) 2%-VAR NTS 1,BUE,Argentina,
AVXL,Anavex Life Sciences Corp.,NCM,Australia,
AI.TO,Atrium Mortgage Investment Corporation,TOR,Canada,
EVOK,"Evoke Pharma, Inc.",NCM,Australia,
SMME,"SmartMetric, Inc.",PNK,USA,
VAPO,VAPORIN INC.,OBB,USA,
G09.F,GENOMIC VISION,FRA,Germany,
RLD,RealD Inc.,NYQ,USA,
019440.KS,"SeAH Special Steel Co., Ltd.",KSC,Korea,
SWK,"Stanley Black & Decker, Inc.",NYQ,USA,
TRMLF,Tourmaline Oil Corp.,PNK,USA,
EPXY,"Epoxy, Inc.",PNK,USA,
BIOM,"Biomimix, Inc.",PNK,USA,
KYSEY,"Kyushu Electric Power Company, Incorporated",PNK,USA,
KJ7.SI,db x-trackers - MSCI Indonesia Index UCITS ETF,SES,Singapore,
6540.TWO,JHL,TWO,Taiwan,
WKH.BE,WAI KEE HLDGS,BER,Germany,
VAC,Marriott Vacations Worldwide Corp.,NYQ,USA,
IMMU,Immunomedics Inc.,NGM,Sweden,
NNL.F,MONEX GROUP,FRA,Germany,
STDY,SteadyMed Ltd.,NGM,Sweden,
V3V.SG,VITA 34 N,STU,Germany,
BKCT,"DTS8 Coffee Company, Ltd.",OBB,USA,
QPACW,Quinpario Acquisition Corp. 2,NCM,Australia,
HIFH.HM,CHINA SHIP DEVL -H-,HAM,Germany,
GLOB,Globant S.A.,NYQ,USA,
ONIN,"Online Internet Network, Inc.",PNK,USA,
ROTH,"PharmaRoth Labs, Inc.",PNK,USA,
TYPFF,TYPHOON EXPLORATION,PNK,USA,
DJPHF,"DYNAM Japan Holdings Co., Ltd.",PNK,USA,
YI2A.MU,JA SOLAR HLD SP ADR,MUN,Germany,
ABAN.BO,ABAN OFFSHORE LTD.,BSE,India,
VRTC,"Veritec, Inc.",PNK,USA,
PLAB,Photronics Inc.,NMS,USA,
DIR-UN.TO,DREAM INDUSTRIAL REIT,TOR,Canada,
ELAL.TA,El Al Israel Airlines Ltd.,TLV,Israel,
JACK,Jack in the Box Inc.,NMS,USA,
EUYO.IS,Euro Menkul Kiymet Yatirim Ortakligi AS,IST,Turkey,
ANSA.IS,Ansa Yatirim Holding A.S.,IST,Turkey,
1297.HK,Sinosoft Technology Group Limited,HKG,Hong Kong,
APGA,American Paramount Gold Corp.,PNK,USA,
BZF1.F,VMWARE-A,FRA,Germany,
URZ.TO,Uranerz Energy Corp.,TOR,Canada,
NXK,Nuveen New York Dividend Advantage Municipal Fund 2,ASE,USA,
OFSA3.SA,Ouro Fino Saúde Animal Participações S.A.,SAO,Brazil,
FRPC,First Republic Corp. of America,PNK,USA,
RBS-PF,Royal Bank of Scotland Group Pl,NYQ,USA,
SNFRF,Sinofert Holdings Ltd.,PNK,USA,
QMDT,Quick-Med Technologies Inc.,PNK,USA,
DGRLY,Delek Group Ltd.,PNK,USA,
RIO,Rio Tinto plc,NYQ,USA,
BAMXF,Bayerische Motoren Werke Aktiengesellschaft,PNK,USA,
ACG.AX,AtCor Medical Holdings Limited.,ASX,Australia,
QGJ.F,EVERCORE PARTNERS-A,FRA,Germany,
KPELY,Keppel Corporation Limited,PNK,USA,
2ZXA.BE,CHINA ZENIX SO ADS,BER,Germany,
NCI,Navigant Consulting Inc.,NYQ,USA,
PAOR.PA,Rothschild & Co SCA,PAR,France,
TDC.BE,TAC,BER,Germany,
REV,"Revlon, Inc.",NYQ,USA,
ZVR.BE,SOLAR A/S,BER,Germany,
UNV.AX,Universal Coal plc,ASX,Australia,
HZJ.MU,HEIWA REAL ESTATE,MUN,Germany,
