Symbol,Company Name,Exchange,Country
YNGFF,Veris Gold Corp.,PNK,USA
AMPH,"Amphastar Pharmaceuticals, Inc.",NMS,USA
134790.KS,"Teems, Inc.",KSC,Korea
FWM,Fairway Group Holdings Corp.,NGM,Sweden
0165.KL,XOX BHD,KLS,Malaysia
XB6.F,XEBEC ADSORPTION,FRA,Germany
192400.KS,"Cuckoo Electronics Co., Ltd.",KSC,Korea
YEC.MU,YASKAWA ELECTRIC,MUN,Germany
EAPH,Easton Pharmaceuticals Inc.,PNK,USA
HMSY,HMS Holdings Corp.,NMS,USA
XMEX,"Xemex Group, Inc.",PNK,USA
QFI.BE,AMERICAN FINCL GRP,BER,Germany
CBFV,"CB Financial Services, Inc.",NGM,Sweden
FTP.TO,Fortress Paper Ltd.,TOR,Canada
XCI.BE,CHINA UNICOM (HK),BER,Germany
DPMAF,DIPLOMA PLC FGN,PNK,USA
YO.V,Yoho Resources Inc.,VAN,Canada
BS6.SI,Yangzijiang Shipbuilding (Holdings) Ltd.,SES,Singapore
TGH,Textainer Group Holdings Limited,NYQ,USA
VLX1.MU,GEEKNET,MUN,Germany
WTL.NZ,Windflow Technology Ltd.,NZE,New Zealand
P4W.F,PRIMO WATER,FRA,Germany
XPPLF,XP Power Ltd.,PNK,USA
FP3.DU,NEXTERA ENERGY,DUS,Germany
XBOV11.SA,Caixa ETF Ibovespa Index,SAO,Brazil
TDGCF,Trinidad Drilling Ltd.,PNK,USA
ZMTBF,ZUMTOBEL AG,PNK,USA
9BE.BE,DTS8 COFFEE COMPANY,BER,Germany
ZHEXF,Zhejiang Expressway Co. Ltd.,PNK,USA
SAR.L,Sareum Holdings plc,LSE,UK
PLPM,"Planet Payment, Inc.",NCM,Australia
9961.TWO,YIH DAH,TWO,Taiwan
LTGHY,Life Healthcare Group Holdings Limited,PNK,USA
VOQP,VioQuest Pharmaceuticals Inc.,PNK,USA
YUEIF,Yue Yuen Industrial (Holdings) Limited,PNK,USA
MJP.F,MORNINGSTAR JAPAN ,FRA,Germany
002350.KS,Nexen Tire Corp.,KSC,Korea
ORI1.SG,ORIENT OVS (INTL),STU,Germany
QCI.HA,QUALCOMM,HAN,Germany
DOM.CR,DOMINGUEZ,CCS,Venezuela
LMG.V,Lincoln Mining Corporation,VAN,Canada
INGA.BR,ING GROUP,BRU,Belgium
3152.TWO,ADVANCED CERAMIC X TWD10,TWO,Taiwan
GAINN,Gladstone Investment Corporation,NMS,USA
CNJ.MU,CANON MARKETING JP,MUN,Germany
VIZ.F,VI(Z)RT,FRA,Germany
FIND,Findex.com Inc.,PNK,USA
RVUE,"rVue Holdings, Inc.",PNK,USA
7KT.DE,KTG Agrar SE,GER,Germany
PATY.BA,Quickfood Sociedad Anonima,BUE,Argentina
NKZB.BE,NEW YORK MORTGAGE,BER,Germany
SRT.DE,Sartorius Aktiengesellschaft,GER,Germany
VWS.SW,VESTAS WIND SYSTEMS,EBS,Austria
NPBC,National Penn Bancshares Inc.,NMS,USA
TTW.AX,Top Tung Limited,ASX,Australia
POM,"Pepco Holdings, Inc.",NYQ,USA
SCBFF,Standard Chartered PLC,PNK,USA
JHC.AX,Japara Healthcare Limited,ASX,Australia
YVI.MI,Valore Italia Holding di Partecipazioni S.p.A.,MIL,Italy
TPL.TO,Tethys Petroleum Limited,TOR,Canada
FNSI,4net Software Inc.,PNK,USA
FIBR3.SA,Fibria Celulose S.A.,SAO,Brazil
JASO,"JA Solar Holdings Co., Ltd.",NMS,USA
7PY.F,PRESS GANEY HOLDING,FRA,Germany
FLRY3F.SA,FLEURY      ON      NM,SAO,Brazil
AFGH,"American Financial Group, Inc. ",NYQ,USA
CBEE3F.SA,AMPLA ENERG ON *,SAO,Brazil
SOW.DE,Software Aktiengesellschaft,GER,Germany
ONCE,"Spark Therapeutics, Inc.",NMS,USA
AGRO.BA,Agrometal S.A.I.,BUE,Argentina
WLSE,Wilshire Enterprises Inc.,PNK,USA
LNVGF,Lenovo Group Limited,PNK,USA
8ZZ.F,ZAZU METALS,FRA,Germany
XUN.BE,SHUN TAK HLDGS,BER,Germany
NFU.MU,NISSHIN FUDOSAN ,MUN,Germany
BRL.AX,Bathurst Resources Limited,ASX,Australia
0532.HK,Wong's Kong King International (Holdings) Limited,HKG,Hong Kong
FLK.AX,Folkestone Limited,ASX,Australia
060540.KQ,"System and Application Technologies Co., Ltd.",KOE,South Korea
WOWO,JM WOWO,NGM,Sweden
FQM.L,First Quantum Minerals Ltd.,LSE,UK
WTG.ST,Wonderful Times Group AB,STO,Sweden
FET,"Forum Energy Technologies, Inc.",NYQ,USA
AXIO,Axiom Oil and Gas Corp.,PNK,USA
TOH.F,TOHO,FRA,Germany
KDR.V,KDR Industrials Ltd.,VAN,Canada
AMBA,"Ambarella, Inc.",NMS,USA
MSADF,"MS&AD; Insurance Group Holdings, Inc.",PNK,USA
FNBC,First NBC Bank Holding Company,NMS,USA
CCL-B.TO,CCL Industries Inc.,TOR,Canada
JSLG-DEB63B0.SA,JSL         D63     NM,SAO,Brazil
ACAR,"ActiveCare, Inc.",PNK,USA
V33.DU,VTION WIRELESS,DUS,Germany
RLF.BE,LONGFOR PROPERTIES ,BER,Germany
YTMF03.AX,,ASX,Australia
0002.HK,CLP Holdings Ltd.,HKG,Hong Kong
JGPK,"Jagged Peak, Inc.",PNK,USA
6ZA.BE,ZANAGA IRON ORE,BER,Germany
DB,Deutsche Bank AG,NYQ,USA
WIB.MU,WIENERBERGER AG,MUN,Germany
BTCS,BTCS Inc.,PNK,USA
GCH,"Aberdeen Greater China Fund, Inc.",NYQ,USA
NCXS,National Bank of Coxsackie,PNK,USA
OFW.AX,OILFIELD CDI 1:1,ASX,Australia
RDHL,RedHill Biopharma Ltd.,NCM,Australia
UQ.V,Bee Vectoring Technologies International Inc.,VAN,Canada
RCI.L,RapidCloud International plc,LSE,UK
XM8.BE,CLEAR MEDIA,BER,Germany
ZFR.V,Zephyr Minerals Ltd.,VAN,Canada
WUW.SG,WUESTENROT & WUERTT,STU,Germany
CJR-B.TO,Corus Entertainment Inc.,TOR,Canada
DEN.TO,Dundee Energy Limited,TOR,Canada
PRAH,"PRA Health Sciences, Inc.",NMS,USA
4LC.BE,OAKAJEE CORP,BER,Germany
W5C.F,GREAT WESTERN EXPL,FRA,Germany
F5B.BE,FAMOUS BRANDS,BER,Germany
QVCA,Liberty Interactive Corporation,NMS,USA
LMIF.L,LONMIN I15 FP,LSE,UK
CEXE,Circle Entertainment Inc.,PNK,USA
025620.KS,"Shin Woo Co., Ltd.",KSC,Korea
PAH3.HA,PORSCHE AUTOHLDG VZ,HAN,Germany
MGP.V,Mega Precious Metals Inc.,VAN,Canada
TYOYF,"Taiyo Yuden Co., Ltd.",PNK,USA
AMXL.MX,America Movil S.A.B. de C.V.,MEX,Mexico
VOS.SW,VOSSLOH,EBS,Austria
NFSHF,Northern Offshore Ltd,PNK,USA
3VMB.F,VISIONCHINA SP ADR,FRA,Germany
SIELF,Shanghai Electric Group Company Limited,PNK,USA
IFCZF,Intact Financial Corporation,PNK,USA
HGLG11.SA,Cshg Logistica - Fundo De Investimento Imobiliario,SAO,Brazil
DTEGY,Deutsche Telekom AG,PNK,USA
BOMOXY-B1.BO,Bombay Oxygen Corporation Limited,BSE,India
LALAB.MX,GRUPO LALA-B-I,MEX,Mexico
GOV380.NZ,GOV 15/12/17 6.00% - New Zealan,NZE,New Zealand
511930.SS,ZHONGRONG FUND MAN,SHH,Australia
VCBC,Valley Community Bank,PNK,USA
CU.TO,Canadian Utilities Ltd.,TOR,Canada
ZGLDF,BRUNSWICK RESOURCES,PNK,USA
TROVW,"TrovaGene, Inc.",NCM,Australia
JCE,Nuveen Core Equity Alpha Fund,NYQ,USA
CAH-UN.TO,CANADIAN HIGH YIELD FOCUS FUND,TOR,Canada
ETCC,Environmental Tectonics Corporation,PNK,USA
721783.TWO,YUANTA SECURITIES C/W 23/05/16(,TWO,Taiwan
BFK,BlackRock Municipal Income Trust,NYQ,USA
INZ,ING Groep N.V.,NYQ,USA
PFX,The Phoenix Companies Inc.,NYQ,USA
ZSHERAPR.BO,SHERATON PROPERTIES & FINANCE,BSE,India
EPOR,Epic Corp.,PNK,USA
LHCG,"LHC Group, Inc.",NMS,USA
RWH.AX,Royal Wolf Holdings Limited,ASX,Australia
ITRI,"Itron, Inc.",NMS,USA
AAN,"Aaron's, Inc.",NYQ,USA
WWS.F,ASSOC EST RLT REIT,FRA,Germany
PRYMF,Prysmian S.p.A.,PNK,USA
GBOOY,"Grupo Financiero Banorte, S.A.B. de C.V.",PNK,USA
MTS1.MU,MITSUI & CO,MUN,Germany
RAK.NZ,Rakon Limited,NZE,New Zealand
SAF.PA,Safran SA,PAR,France
ABD.L,Aberdeen New Dawn Ord,LSE,UK
ORWHF,ORIENTAL WATCH HLDG,PNK,USA
WTVP-CRI11B0.SA,BRPR 55 SEC C11,SAO,Brazil
YNA1.BE,YANTAI NORTH -H-,BER,Germany
LBSV,Liberty Silver Corp.,PNK,USA
OIRX6.BA,IRSA INVERSIONES Y 8.5% NTS 02/,BUE,Argentina
ZL3.F,ZALL DEVELOPMENT,FRA,Germany
IXA.BE,IGE PLUS XAO,BER,Germany
STWD,"Starwood Property Trust, Inc.",NYQ,USA
HHILF,Hopewell Highway Infrastructure Limited,PNK,USA
KRXBF,KAREX BHD,PNK,USA
VPK5.MU,KON.VOPAK NV,MUN,Germany
CNN1.F,CANON,FRA,Germany
TDG.TO,Trinidad Drilling Ltd.,TOR,Canada
NSYS,Nortech Systems Inc.,NCM,Australia
CMH.TO,Carmanah Technologies Corp.,TOR,Canada
GLGLF,GLG Life Tech Corporation,PNK,USA
QRX.AX,QRxPharma Limited,ASX,Australia
SIEGY.BA,SIEMENS AG CEDEAR EACH 3 REP 1 ,BUE,Argentina
GROW,"U.S. Global Investors, Inc.",NCM,Australia
CLE.MI,Class Editori SpA,MIL,Italy
8242-OL.HK,MEGALOGICTECH,HKG,Hong Kong
QJQ.MU,ISS,MUN,Germany
DSKX,"DS Healthcare Group, Inc.",NCM,Australia
TXL.TO,Tesla Exploration Ltd.,TOR,Canada
PTOS,"P2 Solar, Inc",PNK,USA
CHRS,"Coherus Biosciences, Inc.",NGM,Sweden
OCY.OL,Ocean Yield AS,OSL,Norway
VFL.A,,ASE,USA
4804.TWO,Da Lue,TWO,Taiwan
6505@BN.KL,DELLOYD VENTURES BHD,KLS,Malaysia
MLVOP.PA,Vopium A/S,PAR,France
VVJSF,VIA VAREJO SA,PNK,USA
3331.HK,Vinda International Holdings Limited,HKG,Hong Kong
KPHOL.IS,Kapital Yatirim Holding AS,IST,Turkey
JPST,"Japan Post Bank Co., Ltd.",PNK,USA
05M.F,DALI FOODS 144A/S,FRA,Germany
3RBB.SG,RECKIT BK SP ADR,STU,Germany
4999.TW,Sinher Technology Inc.,TAI,Taiwan
NTR.SG,SPECTRUM PHARMACTLS,STU,Germany
OSR.BE,OSRAM LICHT N,BER,Germany
VISN,VisionChina Media Inc.,NMS,USA
